地域,,,,,,,,人口,平成22年,平成22年～27年の,平成22年～27年の,,,,,年齢（総数）,,,,年齢別割合（総数）,,,年齢（男）,,,,年齢別割合（男）,,,年齢（女）,,,,年齢別割合（女）,,,,国籍,,世帯,,,,,,,,,,,,,
,,,,,,,,総数,組替人口,人口増減数,人口増減率,面積,人口密度,平均年齢,年齢中位数,"総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合","総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合","総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合",人口性比,日本人,外国人,世帯総数,一般世帯,施設等の世帯,平成22年組替世帯総数,一般世帯数,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（女100人につき男）,,,,,,,,"うち
01,01106,,,,0,北海道,札幌市 南区,"141,190 ","146,341 ","-5,151",-3.5,657.48 ,214.7,49.8 ,52.8 ,"141,190 ","14,271 ","81,598 ","44,854 ",10.1 ,58.0 ,31.9 ,"65,305 ","7,317 ","38,809 ","18,943 ",11.2 ,59.6 ,29.1 ,"75,885 ","6,954 ","42,789 ","25,911 ",9.2 ,56.6 ,34.2 ,86.1 ,"140,507 ",437 ,"61,291 ","61,145 ",146 ,"62,776 ","61,145 ","37,667 ","15,969 ","15,483 ",819 ,"5,396 ","19,698 ","8,722 ","9,617 ","1,853 "
01,01107,,,,0,北海道,札幌市 西区,"213,578 ","211,229 ","2,349",1.1,75.10 ,"2,843.9",46.8 ,47.2 ,"213,578 ","24,842 ","133,411 ","54,865 ",11.7 ,62.6 ,25.7 ,"98,648 ","12,630 ","62,921 ","22,823 ",12.8 ,64.0 ,23.2 ,"114,930 ","12,212 ","70,490 ","32,042 ",10.6 ,61.4 ,27.9 ,85.8 ,"212,670 ",566 ,"97,750 ","97,585 ",165 ,"96,421 ","97,585 ","56,438 ","22,448 ","24,189 ","1,096 ","8,705 ","35,275 ","11,536 ","11,312 ","2,403 "
01,01108,,,,0,北海道,札幌市 厚別区,"127,767 ","128,492 ",-725,-0.6,24.38 ,"5,240.6",48.1 ,50.1 ,"127,767 ","13,990 ","77,888 ","35,713 ",11.0 ,61.0 ,28.0 ,"58,312 ","7,178 ","36,054 ","15,008 ",12.3 ,61.9 ,25.8 ,"69,455 ","6,812 ","41,834 ","20,705 ",9.8 ,60.3 ,29.9 ,84.0 ,"127,344 ",408 ,"55,585 ","55,498 ",87 ,"54,099 ","55,498 ","35,886 ","14,348 ","15,197 ",673 ,"5,668 ","16,711 ","6,802 ","8,005 ","1,426 "
01,01109,,,,0,北海道,札幌市 手稲区,"140,999 ","139,644 ","1,355",1.0,56.77 ,"2,483.7",47.3 ,48.8 ,"140,999 ","17,367 ","84,637 ","38,561 ",12.4 ,60.2 ,27.4 ,"66,284 ","8,889 ","40,662 ","16,474 ",13.5 ,61.6 ,25.0 ,"74,715 ","8,478 ","43,975 ","22,087 ",11.4 ,59.0 ,29.6 ,88.7 ,"140,298 ",259 ,"57,333 ","57,238 ",95 ,"55,050 ","57,238 ","37,965 ","14,512 ","17,402 ",757 ,"5,294 ","15,186 ","5,867 ","8,199 ","2,165 "
01,01110,,,,0,北海道,札幌市 清田区,"115,726 ","116,619 ",-893,-0.8,59.87 ,"1,933.0",46.4 ,48.1 ,"115,726 ","15,459 ","70,761 ","29,260 ",13.4 ,61.3 ,25.3 ,"54,624 ","7,913 ","33,832 ","12,773 ",14.5 ,62.1 ,23.4 ,"61,102 ","7,546 ","36,929 ","16,487 ",12.4 ,60.6 ,27.0 ,89.4 ,"115,239 ",400 ,"45,006 ","44,915 ",91 ,"42,759 ","44,915 ","31,700 ","11,634 ","15,468 ",640 ,"3,958 ","10,190 ","4,257 ","6,449 ","1,617 "
01,01202,,,,2,北海道,函館市,"265,979 ","279,127 ","-13,148",-4.7,677.86 ,392.4,50.1 ,52.7 ,"265,979 ","27,131 ","152,154 ","85,931 ",10.2 ,57.4 ,32.4 ,"120,376 ","13,912 ","72,223 ","33,839 ",11.6 ,60.2 ,28.2 ,"145,603 ","13,219 ","79,931 ","52,092 ",9.1 ,55.0 ,35.9 ,82.7 ,"264,537 ",771 ,"123,950 ","123,651 ",299 ,"126,180 ","123,651 ","66,690 ","28,514 ","24,671 ","1,447 ","12,058 ","48,247 ","20,148 ","16,258 ","4,240 "
01,01203,札幌,,,2,北海道,小樽市,"121,924 ","131,928 ","-10,004",-7.6,243.83 ,500.0,52.4 ,56.5 ,"121,924 ","11,171 ","65,317 ","45,240 ",9.2 ,53.7 ,37.2 ,"54,985 ","5,661 ","31,183 ","18,020 ",10.3 ,56.8 ,32.8 ,"66,939 ","5,510 ","34,134 ","27,220 ",8.2 ,51.0 ,40.7 ,82.1 ,"121,415 ",411 ,"55,466 ","55,299 ",167 ,"57,711 ","55,299 ","31,709 ","13,894 ","11,516 ",787 ,"5,512 ","19,911 ","10,585 ","8,950 ","1,825 "
01,01204,,,,2,北海道,旭川市,"339,605 ","347,095 ","-7,490",-2.2,747.66 ,454.2,49.6 ,51.9 ,"339,605 ","37,173 ","191,423 ","106,444 ",11.1 ,57.1 ,31.8 ,"156,402 ","18,938 ","90,649 ","44,410 ",12.3 ,58.9 ,28.8 ,"183,203 ","18,235 ","100,774 ","62,034 ",10.1 ,55.7 ,34.3 ,85.4 ,"335,678 ",613 ,"155,747 ","155,218 ",529 ,"154,393 ","155,218 ","88,393 ","39,057 ","34,414 ","1,697 ","13,225 ","57,488 ","22,400 ","23,059 ","4,315 "
01,01205,,,,2,北海道,室蘭市,"88,564 ","94,535 ","-5,971",-6.3,80.88 ,"1,095.0",49.9 ,52.5 ,"88,564 ","9,185 ","49,005 ","30,118 ",10.4 ,55.5 ,34.1 ,"43,143 ","4,647 ","25,831 ","12,457 ",10.8 ,60.2 ,29.0 ,"45,421 ","4,538 ","23,174 ","17,661 ",10.0 ,51.1 ,38.9 ,95.0 ,"88,203 ",297 ,"43,616 ","43,536 ",80 ,"45,029 ","43,536 ","23,014 ","10,793 ","8,448 ",477 ,"3,296 ","18,486 ","7,295 ","6,773 ",898 
01,01206,,,,2,北海道,釧路市,"174,742 ","181,169 ","-6,427",-3.5,"1,362.92 ",128.2,49.1 ,51.4 ,"174,742 ","19,400 ","101,909 ","52,867 ",11.1 ,58.5 ,30.4 ,"82,185 ","9,829 ","49,888 ","22,161 ",12.0 ,60.9 ,27.1 ,"92,557 ","9,571 ","52,021 ","30,706 ",10.4 ,56.4 ,33.3 ,88.8 ,"174,120 ",440 ,"82,078 ","81,846 ",232 ,"81,015 ","81,846 ","45,098 ","19,896 ","16,943 ","1,105 ","7,154 ","31,697 ","11,926 ","11,305 ","2,339 "
